subject,alphas,beta_mb,beta_mf0,beta_mf1,beta_stick,beta_s2
39U1BHVTDLRTORDGGEI5UUJ77ZC3TA,0.352616,1.64825,0.168727,0.206677,-0.149927,2.67625
3WMOAN2SRBXF5NAF3S2Z4Q5Y8YAVNI,0.378694,0.254826,0.284556,0.99625,-0.677841,2.28267
3FE2ERCCZX8KIODVIVTDDNGLC9IOPN,0.548227,0.293651,-0.105449,0.954998,-0.594283,1.36242
34T446B1C0EGLIC8B55W3MLWGWS0CJ,0.0636614,-0.200437,0.0513336,0.947987,0.0444208,0.433422
3JMSRU9HQIUBBHX2ATZGE3BPU6OEVR,0.0844572,0.200201,-0.214765,0.850275,0.105616,0.716214
3YJ6NA41JBG6HDMY2I185RZZDQTJP6,0.411453,0.292726,0.0535179,0.416097,0.215782,1.18202
3TDXMTX3CBU2CWKN54HZNQTI56EI6N,0.462038,0.68448,0.0172342,0.984817,-0.255956,2.06504
3LWJHTCVCCMBCN1HJ5PCQYXHPF0QF3,0.439544,0.322115,0.358438,0.571505,-1.16128,1.77508
3GDTJDAPVUBBCTT2JYCPZXWQTD88M6,0.138511,0.845189,-0.126887,1.08966,-0.123926,0.465389
3PDJHANYK5G2G193ZMZENES36RP6H5,0.0485879,-0.153379,0.0641019,0.5643,-0.333901,0.40885
3K9FOBBF2HJC9IYLPO0THH7WIYDNLT,0.546812,0.79199,0.0905552,0.106055,-0.054161,1.76443
33F859I566D8MDQYVDGMYUEVKXZBH4,0.380823,-0.463135,0.0408724,-0.157777,-0.210018,0.477978
3SNLUL3WO4NP48IUMPCFVCZQPWPLU5,0.59487,0.204909,-0.161121,1.22594,-0.194693,1.81168
3Y9N9SS8LYBM72HJUOIQPQ1L4ROD3T,0.218511,-0.442005,0.149057,-0.0304419,-0.369898,1.1394
31N2WW6R9RQJ5MVFLUDGDQ46GLZ3FN,0.385367,0.271082,0.331772,0.632561,-0.847142,1.62755
